location,date,total_cases,total_deaths,Death_Percentage
India,2021-02-04,10790183,154703,1.433738427
India,2021-02-05,10802591,154823,1.43320246
India,2021-02-06,10814304,154918,1.432528621
India,2021-02-07,10826363,154996,1.431653456
India,2021-02-08,10838194,155080,1.430865696
India,2021-02-09,10847304,155158,1.43038307
India,2021-02-10,10858371,155252,1.429790896
India,2021-02-11,10871294,155360,1.429084707
India,2021-02-12,10880603,155447,1.428661628
India,2021-02-13,10892746,155550,1.42801457
India,2021-02-14,10904940,155642,1.427261406
India,2021-02-15,10916589,155732,1.426562821
India,2021-02-16,10925710,155813,1.426113269
India,2021-02-17,10937320,155913,1.425513746
India,2021-02-18,10950201,156014,1.424759235
India,2021-02-19,10963394,156111,1.423929488
India,2021-02-20,10977387,156212,1.423034462
India,2021-02-21,10991651,156302,1.422006576
India,2021-02-22,11005850,156385,1.420926144
India,2021-02-23,11016434,156463,1.420269027
India,2021-02-24,11030176,156567,1.419442446
India,2021-02-25,11046914,156705,1.418540961
India,2021-02-26,11063491,156825,1.417500136
India,2021-02-27,11079979,156938,1.416410627
India,2021-02-28,11096731,157051,1.415290683
India,2021-03-01,11112241,157157,1.414269183
India,2021-03-02,11124527,157248,1.413525267
India,2020-03-21,283,4,1.413427562
India,2021-03-03,11139516,157346,1.412503021
India,2021-03-04,11156923,157435,1.411096949
India,2021-03-05,11173761,157548,1.409981832
India,2021-03-06,11192088,157656,1.408637959
India,2021-03-07,11210799,157756,1.407178917
India,2021-03-08,11229398,157853,1.405712043
India,2021-03-09,11244786,157930,1.404473149
India,2021-03-10,11262707,158063,1.403419267
India,2021-03-11,11285561,158189,1.401693722
India,2021-03-12,11308846,158306,1.399842212
India,2021-03-13,11333728,158446,1.398004258
India,2021-03-14,11359048,158607,1.396305395
India,2021-03-15,11385339,158725,1.39411747
India,2021-03-16,11409831,158856,1.392273032
India,2021-03-17,11438734,159044,1.390398623
India,2021-03-18,11474605,159216,1.387551031
India,2021-03-19,11514331,159370,1.384101256
India,2022-01-01,34861579,481486,1.381136523
India,2021-12-30,34822040,480860,1.380907035
India,2021-12-31,34838804,481080,1.380874039
India,2022-01-02,34889132,481770,1.380859805
India,2021-03-20,11555284,159558,1.380822834
India,2021-12-29,34808886,480592,1.38065895
India,2021-12-28,34799691,480290,1.380155933
India,2022-01-03,34922882,481893,1.379877526
India,2021-12-27,34793333,479997,1.379566022
India,2021-12-26,34786802,479682,1.378919511
India,2022-01-04,34960261,482017,1.378756869
India,2021-12-25,34779815,479520,1.378730738
India,2022-01-05,35018358,482551,1.377994365
India,2021-12-24,34772626,479133,1.377902837
India,2021-03-21,11599130,159755,1.377301573
India,2021-12-23,34765976,478759,1.377090636
India,2021-12-22,34758481,478325,1.376138963
India,2021-12-21,34752164,478007,1.375474057
India,2022-01-06,35109286,482876,1.375351239
India,2021-12-20,34746838,477554,1.374381174
India,2021-12-19,34740275,477422,1.374260854
India,2021-12-18,34733194,477158,1.373780943
India,2021-03-22,11646081,159967,1.373569358
India,2021-12-17,34726049,476869,1.373231375
India,2021-12-16,34718602,476478,1.37239973
India,2021-12-15,34710628,476135,1.371726838
India,2022-01-07,35226386,483178,1.371636591
India,2021-12-14,34703644,475888,1.371291153
India,2021-12-13,34697860,475636,1.370793473
India,2021-12-12,34690510,475434,1.370501616
India,2021-03-23,11686796,160166,1.37048683
India,2021-12-11,34682736,475128,1.369926525
India,2021-12-10,34674744,474735,1.369108882
India,2021-12-09,34666241,474111,1.367644678
India,2021-12-08,34656822,473952,1.367557591
India,2021-12-07,34648383,473757,1.367327878
India,2021-03-24,11734058,160441,1.367310439
India,2021-12-06,34641561,473537,1.366962072
India,2022-01-08,35368372,483463,1.366935973
India,2021-12-05,34633255,473326,1.366680666
India,2021-03-25,11787534,160692,1.363236789
India,2022-01-09,35528004,483790,1.361714551
India,2021-12-04,34624360,470530,1.358956527
India,2021-03-26,11846652,160949,1.358603258
India,2021-12-03,34615757,470115,1.35809539
India,2021-12-02,34606541,469724,1.357327217
India,2021-12-01,34596776,469247,1.356331584
India,2021-11-30,34587822,468980,1.35591076
India,2021-11-29,34580832,468790,1.355635399
India,2021-11-28,34572523,468554,1.355278584
India,2022-01-10,35707727,483936,1.355269687
India,2021-03-27,11908910,161240,1.353944232
India,2021-11-27,34563749,467933,1.353825941
India,2021-11-26,34555431,467468,1.352806162
India,2021-11-25,34544882,466980,1.351806615
India,2021-11-24,34535763,466584,1.351016915
India,2021-11-23,34526480,466147,1.350114463
India,2021-11-22,34518901,465911,1.349727212
India,2022-01-11,35875790,484213,1.349692927
India,2021-03-28,11971624,161552,1.349457684
India,2021-11-21,34510413,465662,1.349337662
India,2021-11-20,34499925,465349,1.348840613
India,2021-11-19,34489623,465082,1.348469364
India,2021-11-18,34478517,464623,1.347572461
India,2021-11-17,34466598,464153,1.34667483
India,2021-11-16,34456401,463852,1.346199796
India,2021-11-14,34437307,463530,1.346011173
India,2021-11-15,34447536,463655,1.345974354
India,2021-11-13,34426036,463245,1.345623992
India,2021-11-12,34414186,462690,1.34447463
India,2021-03-29,12039644,161843,1.34425071
India,2022-01-12,36070510,484655,1.343632236
India,2021-11-11,34401670,462189,1.343507452
India,2021-11-10,34388579,461849,1.343030196
India,2021-11-09,34377113,461389,1.342140045
India,2021-11-08,34366987,461057,1.341569454
India,2021-11-07,34355536,460791,1.341242355
India,2021-07-29,31528114,422662,1.340587642
India,2021-07-21,31216337,418480,1.340580094
India,2021-07-31,31613993,423810,1.340577256
India,2021-07-25,31371901,420551,1.340534002
India,2021-07-24,31332159,420016,1.340526837
India,2021-08-01,31655824,424351,1.340514782
India,2021-07-30,31572344,423217,1.340467467
India,2021-07-23,31293062,419470,1.340456872
India,2021-07-22,31257720,418987,1.340427261
India,2021-07-28,31484605,422022,1.340407479
India,2021-08-25,32512366,435758,1.340283878
India,2021-08-26,32558530,436365,1.340247855
India,2021-03-30,12095855,162114,1.340244241
India,2021-07-27,31440951,421382,1.340232997
India,2021-08-03,31726507,425195,1.340188505
India,2021-07-26,31411262,420967,1.340178564
India,2021-08-04,31769132,425757,1.340159372
India,2021-08-02,31695958,424773,1.340148798
India,2021-11-06,34344683,460265,1.340134658
India,2021-08-05,31812114,426290,1.340024118
India,2021-08-20,32358829,433589,1.33994033
India,2021-08-27,32603188,436861,1.339933383
India,2021-08-07,31895385,427371,1.33991485
India,2021-08-24,32474773,435110,1.339840004
India,2021-08-08,31934455,427862,1.339813064
India,2021-08-23,32449306,434756,1.339800611
